taxonomy	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Firmicutes	48.99009	53.32493	40.78138	40.37434	42.67576	61.2201	40.93044	53.37879	32.24832	51.18457	63.35707	51.45706	51.73814	35.85193	39.19587	50.02973	55.039	55.35725	55.10547	58.88224	44.85268	68.06903	59.70591	60.62824	47.09886	35.26136	37.01879	64.46073	63.92494	57.09835	35.01589	72.17571	60.71417	60.97714	50.98079	65.25493	55.44493	72.95311	50.58464	50.61425	52.57896	51.91961	52.98678	36.52702	20.92889	57.69257	61.37916	69.34404	56.07854	67.34195	52.46189	60.49327	64.6512	51.20156	53.14779	56.05124	55.66972	34.45668	34.32971	38.01963	49.24581	50.70383	46.06448	65.38045	54.74975	65.77831	51.04567	51.33878	48.87823	57.08332	54.63796	55.60699	64.94537	60.68009	59.74853	56.18948	52.04494	36.04904	52.58924	51.35903	55.36611	40.97926	28.67896	37.82723	50.88176	54.03079	58.92913	45.13158	49.99952	60.38556	51.02408	49.4744	49.25653	48.96777	55.87695	52.44815	46.24704	69.27503	50.05826	50.61691	41.65255	40.15668	48.40113	61.89444	63.23411	61.86745	51.47303	52.81794	51.31952	61.52208	61.40277	45.69665	54.98454	47.30307	36.73676	53.39474	63.43596	52.67834	35.23927	49.69471	36.98558	45.03985	18.43779	56.45064	43.87446	40.44268	59.82582	54.81972	52.89096	53.3079	54.76366	52.53867	52.22166	57.59169	63.27913	56.4656	66.50678	37.78436	57.48184	47.7866	68.65161	44.10108	49.29247	54.54946	68.24675	61.93045	49.80987	51.47904	51.06021	62.84494	66.29875	58.88829	57.08085	80.30841	49.26437	51.37369	63.87267	62.55604	57.23115	57.37824	67.35388	63.91973	42.14812	42.6616	56.88975	40.71074	58.2493	42.50563	37.73665	50.83674	49.74111	56.00725	53.25863	61.4019	46.74529	69.94399	61.8565	46.73261	64.87655	69.30433	56.98772	82.14571	37.56533	55.73068	53.20483	46.85438	46.4135	45.14011	48.85251	58.53335	49.69099	65.66505	51.80679	52.4587	36.68155	53.21543	50.57332	60.04483	35.27138	58.40425	64.66777	39.28276	29.87212	73.20828	42.57372	56.20657	51.91178	70.40977	76.60116	59.17444
k__Bacteria|p__Bacteroidetes	42.29404	29.95515	21.41701	33.99124	40.37212	22.09612	12.68421	26.84875	48.85041	15.12749	5.15446	14.6707	34.32786	48.06315	46.43564	31.434	36.73318	36.23457	23.3653	27.92535	40.34473	18.37072	15.04814	17.47532	35.52501	58.3364	56.06643	18.84568	19.12802	21.06298	46.37589	9.05646	18.26267	18.27283	32.53547	19.03618	22.74041	13.88963	25.69142	36.14812	33.85676	30.19452	28.88225	49.14456	70.28043	25.22164	31.94892	18.16152	29.85393	3.00997	25.40068	21.03424	24.79402	31.17766	34.36895	24.16038	29.78975	55.42125	53.19915	53.20142	31.49583	28.20487	33.35168	15.99574	33.13235	25.4462	33.16846	33.72501	42.75302	23.44808	23.76418	22.86976	11.71638	29.17202	26.26736	12.43198	33.40215	43.20459	34.22249	37.06161	23.82375	47.36806	53.1536	45.92891	32.76157	28.03021	17.70443	38.49324	32.9525	11.58059	14.76667	35.98287	30.28774	33.58093	17.69251	25.19007	35.72997	18.2411	36.23979	28.28139	39.07778	31.34049	35.14742	21.49638	24.16035	27.48395	30.40306	31.01405	31.43285	21.56922	25.83823	18.78867	25.34504	24.20221	39.96342	29.88323	16.14824	31.12777	50.00651	30.03539	42.16425	46.7781	54.86166	33.90543	43.61751	38.4197	25.85022	35.9983	35.68748	28.76978	34.4285	34.42125	28.45437	31.31329	20.85884	26.20104	21.11891	41.32885	22.57745	30.79032	17.41506	43.54044	34.89462	15.80383	22.87462	19.46432	30.21866	26.22675	29.11795	25.08397	17.8173	28.80248	27.5648	12.02044	34.95383	33.21328	16.50756	19.88443	12.80165	10.43574	12.6679	14.32737	42.74192	38.62269	21.29189	45.8696	19.34201	29.28813	44.1757	36.14102	30.45192	17.57452	35.68716	19.15866	26.55984	14.79495	29.16333	34.87344	17.489	15.33156	28.46768	9.17162	46.32031	31.95467	14.40309	36.30308	42.09405	36.63744	28.98413	12.67366	38.41615	23.9484	33.65135	26.85342	42.13186	32.8159	37.51239	29.66404	51.20177	18.72515	31.4762	39.19674	53.80593	10.27985	34.51883	34.1978	24.60626	12.39533	5.50269	22.28474
k__Bacteria|p__Bacteria_unclassified	5.21317	9.11782	20.85085	22.74998	9.41328	10.33249	43.54192	12.94186	5.80923	21.51736	26.26161	22.192	5.68256	12.01392	9.77531	7.44259	3.62934	3.53677	8.92905	5.52268	5.2269	3.2623	3.82977	12.37075	8.96581	5.72632	6.39194	9.16302	9.32096	15.69834	9.4536	7.09013	11.98874	11.41902	6.5826	10.12275	15.85444	3.37725	14.0595	7.74714	7.78019	6.2335	6.15286	7.17482	3.69842	8.57313	4.4043	5.83706	3.23657	22.10948	18.77661	7.41121	5.87999	11.17123	3.98774	5.18462	6.31103	4.17157	5.07628	4.25958	8.79315	10.4414	10.3712	6.28508	7.105	3.29407	7.35635	8.25439	6.05165	14.60784	15.56261	5.35154	13.46597	5.2706	10.5473	13.44287	5.01822	7.40302	8.82796	3.57797	3.52428	4.4757	14.83823	5.41585	6.03908	7.31184	14.71973	6.74163	11.39291	19.07581	26.61029	12.63586	15.56144	11.67495	15.29828	13.92726	12.23739	4.58738	8.23624	13.63529	11.82149	9.80351	12.17817	11.23816	3.60924	5.10936	13.30002	9.5861	10.9199	7.62824	3.0059	24.57982	13.82607	2.41263	9.89673	6.11126	5.60618	11.66918	3.94277	5.13057	17.30403	4.66452	1.07194	6.69615	5.93436	7.51645	11.0002	5.1691	6.68513	9.77327	5.85947	7.95116	9.10919	8.273	7.43536	9.87998	9.06987	16.04276	7.22003	12.80928	7.03069	7.66229	9.39456	23.28686	8.46796	10.3931	10.76113	11.88556	11.75615	3.06946	3.15523	6.69942	8.6738	6.00876	8.32926	10.81156	14.26397	13.93569	22.92722	24.24356	5.41805	14.65831	8.45613	12.11299	4.84992	9.18667	15.18914	12.08183	8.62013	5.61005	6.62792	3.56441	3.98974	11.44615	8.28147	3.77002	4.94281	10.80132	7.58765	8.43447	3.62625	3.81341	12.45922	6.59308	3.16057	12.17809	7.42024	7.63733	13.40163	19.89737	6.57717	3.42361	8.26864	12.42996	9.11644	5.16228	8.47313	5.78172	8.86379	14.0065	2.48074	15.3426	5.97056	8.11281	4.89687	4.92685	18.03697	11.76933	9.04616	2.09495
k__Bacteria|p__Proteobacteria	2.9304	5.3026	16.31848	2.06124	5.40806	5.4626	0.80205	5.91883	10.12389	5.83973	3.37578	5.67672	6.28933	3.31742	3.19355	10.52765	3.59199	3.92596	9.47415	5.65502	6.04446	8.88301	21.01945	8.1706	6.39683	0.67591	0.52284	5.13636	5.30727	4.56255	8.25605	11.05319	7.74001	7.84137	7.51913	3.70025	4.32414	4.31401	8.72869	4.53003	4.77024	8.43678	8.77242	6.18065	3.07404	6.55787	1.99748	5.93609	7.7493	4.26364	2.83516	9.18993	2.67058	5.52533	5.69307	5.60925	5.60396	4.71896	5.95994	3.21201	10.18096	10.36747	8.69747	4.02763	3.57342	5.2327	3.64838	3.62061	1.3027	3.13501	3.41322	14.14711	7.94927	4.61462	2.55527	10.70303	3.35555	11.31657	2.84108	6.9106	17.19459	6.83151	2.99438	6.59624	5.11936	5.30539	4.65936	6.32467	4.50132	7.19959	3.17083	0.73056	3.36658	4.58931	6.97975	5.52393	4.39832	5.56549	3.02472	5.24296	5.78615	12.39074	3.79485	5.20924	8.43334	5.44805	2.55685	4.08209	3.62771	7.13755	7.67076	9.94864	2.31151	20.27902	6.72395	3.471	7.50701	3.5676	9.69731	6.39202	3.05777	3.28034	25.2587	1.53673	4.84044	12.91841	2.84815	0.9387	3.44781	6.21084	4.71651	3.02579	8.26407	1.67973	2.37747	4.73927	2.89835	3.83358	7.04817	7.523	5.14377	3.40094	5.23021	5.28238	0	5.32975	6.49387	9.01636	6.82841	4.90844	12.22754	4.27307	5.29699	1.29794	6.12341	3.65889	3.6114	3.42394	6.45983	7.44349	10.22974	5.3146	4.4112	4.92283	16.72826	3.03739	5.83443	14.88151	7.44277	3.59277	11.26778	14.57271	4.97625	5.3696	13.13595	6.41587	3.07518	4.2112	2.54972	6.16023	3.18452	4.49281	3.01743	4.2059	24.39061	3.33104	3.87925	9.08428	7.86547	7.72405	4.219	6.26593	5.49536	5.29117	3.79404	2.26976	2.83386	4.16988	3.32092	4.8941	0.70118	4.33302	9.93409	4.75319	5.43086	3.20364	2.88694	4.40244	7.09401	4.31559
k__Bacteria|p__Actinobacteria	0.5723	1.3046	0.60854	0.58737	1.08716	0.85789	1.51262	0.83602	0.22289	1.33829	0.54014	1.30231	0.39118	0.74037	1.1551	0.56593	0.64892	0.64049	0.97056	0.65488	1.03533	1.2915	0.37188	0.6058	1.37987	0	0	0.74523	0.73052	0.54607	0.46682	0.62017	0.38003	0.32902	2.35467	0.6025	0.61126	0.38663	0.93576	0.49695	0.56301	0.83627	0.92937	0.92738	0.89292	0.70015	0.26939	0.32562	0.65604	3.13081	0.51484	0.2186	0.7851	0.775	0.40443	0.34065	0.43764	0.89609	0.91253	1.10228	0.22019	0.21913	0.42769	0.51255	0.72385	0.23853	0.90998	1.14417	0.89841	0.87379	0.6866	0.71261	0.70746	0.26268	0.279	3.1023	0.15644	0.45237	1.27875	1.09079	0.02713	0.28147	0.27547	0.92868	0.18075	4.55119	0.39042	1.35528	1.03808	0.51293	0.78326	0.83644	0.45029	0.4703	1.28279	1.78702	0.57232	0.76867	0.87293	1.21698	0.46476	1.00957	0.39784	0.16177	0.56296	0.09118	0.82074	0.77416	1.70469	1.47486	0.22162	0.41727	1.23013	0.9342	0.43246	0.52229	0.41361	0.79399	0.86995	1.35264	0.46462	0.2372	0.36991	1.32015	0.78898	0.64725	0.43376	0.64511	0.76693	0.52968	0.23186	1.40942	0.24102	0.71382	0.56484	2.10193	0.4061	0.55084	0.16306	0.69707	1.75887	0.8766	0.44208	1.07747	0.41067	2.13696	0.39108	0.82069	1.07123	0.2264	0.37385	0.30318	0.87384	0.36446	1.17402	0.69091	0.48267	0.1999	0.58015	0.38234	0.79314	1.69484	0.80427	0.45657	0.24018	0.46077	0.34871	0.5434	1.9609	1.33606	0.83515	0.21094	0.39915	0.92716	1.08526	0.19294	0.84207	0.73349	4.19434	0.7694	0.72488	0.29875	0.24042	1.12794	0.16621	0.51292	0.19296	1.10973	0.30541	1.17149	0.5383	0.69701	0.59891	0.79006	0.71251	0.44142	0.58883	0.32965	0.35622	0.48626	0	0.82155	0.32924	0.74165	0.4062	0.4901	2.4494	1.01833	0.16497	1.01129
k__Bacteria|p__Firmicutes|c__Clostridia	30.81628	29.92959	24.30502	22.24642	21.43605	42.23301	23.20097	33.84456	16.44146	29.21508	34.29523	29.88775	34.57031	19.37065	23.39847	34.49107	37.37677	38.26269	34.91381	36.55956	20.14403	45.54656	34.69188	29.06174	23.46334	19.91163	20.55141	35.21168	35.06549	38.61736	18.72575	38.93245	25.04869	27.65215	29.65781	29.87402	37.83896	41.63855	32.67662	31.31807	33.83173	26.7451	27.38375	23.31364	11.00719	41.47993	44.14757	40.08877	31.6808	58.33415	24.97024	32.27608	35.5765	23.72401	38.71501	40.88344	38.27309	21.77734	20.63049	19.0836	32.03503	35.29183	19.33314	56.44711	35.29345	41.76757	29.82046	29.58709	24.64131	31.20016	26.69036	30.28659	35.25186	37.15035	29.98112	22.60767	38.7325	20.46832	30.17071	42.59899	28.43488	27.31191	18.38461	25.35475	34.3993	33.12367	34.77858	27.0055	22.67608	37.2998	24.34902	35.96489	25.65292	24.37664	32.18318	35.06562	18.89637	54.64808	29.60309	22.25919	29.24287	30.55849	28.11905	47.65113	39.65634	42.07548	25.16043	26.00818	31.73534	35.45976	35.41696	22.81459	32.32998	25.43456	20.87615	31.26182	41.11966	37.90909	19.85897	33.34869	21.73858	31.74682	0.49632	28.53607	24.32318	21.29015	40.66552	40.925	34.4007	25.07755	33.06319	30.04142	37.35435	34.73057	39.11189	30.91237	35.3367	27.88721	41.06225	22.86588	40.76202	25.19906	26.79767	40.91156	47.44229	34.49029	34.62923	22.60315	24.331	34.93487	46.60322	31.19049	31.19324	58.09527	27.96332	24.9695	37.44903	39.35682	34.19552	39.2792	46.69284	32.47464	18.82041	21.28826	41.89508	15.48208	36.1225	25.75625	23.38467	28.29772	23.50266	37.02194	38.79404	37.85416	27.33406	41.12233	39.45267	32.29475	38.68659	45.01187	41.84628	34.59301	17.6303	35.42411	32.06873	23.55948	28.91448	24.5393	28.51283	46.04439	20.63497	37.89675	33.78256	24.96101	22.16691	39.18114	45.10473	42.28349	22.97002	38.9481	47.04676	25.08888	15.50253	48.11768	30.20562	37.43318	31.35253	49.94224	50.60206	43.96359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	26.53538	18.64386	12.42153	28.07913	29.11708	14.2936	9.63941	17.26629	42.07232	10.25357	4.00634	10.04237	27.96453	34.29814	40.31703	18.52822	25.91128	25.26254	11.81666	18.09839	31.4309	12.497	6.12953	14.56104	25.57388	53.47803	51.2959	9.29047	9.19034	15.64503	39.24547	4.126	11.07222	15.92177	18.59229	15.69632	17.33779	7.27838	18.1936	31.24994	29.04878	22.65805	21.41672	29.9194	66.86156	17.18278	11.42379	13.33167	25.55276	1.69232	21.12931	9.63768	20.00516	24.06539	30.81566	13.34657	15.81819	45.53169	44.88088	42.39472	26.03785	24.05771	23.9754	7.20242	25.47157	18.4014	24.27434	26.87628	33.97848	16.64649	16.64397	12.69034	10.7852	15.16312	18.36843	11.55916	26.13852	30.25914	24.76388	20.77134	10.23416	44.02849	51.96189	38.902	18.02051	15.1784	11.43993	26.20597	25.43615	9.73095	10.14783	33.56841	25.56887	25.8058	12.91406	20.03819	30.30667	15.69793	26.38043	22.2196	25.11173	20.66786	31.22045	13.12196	15.99695	10.7457	25.11727	23.91736	28.98184	18.67915	16.79408	13.60286	20.94383	14.85585	30.81967	18.05771	8.39784	26.13741	38.21601	24.28236	35.20477	43.62477	54.86166	24.7184	36.75366	29.69897	21.96348	14.35834	27.23002	22.97097	30.36229	26.04024	15.09858	27.87595	17.66518	21.0177	14.73988	32.14296	16.56108	25.74547	7.64102	39.90732	23.91425	6.91506	21.29409	16.16487	19.66875	21.04297	25.1537	11.36388	10.3193	18.28642	24.0014	7.37871	29.64109	27.86088	15.21091	17.01275	9.18666	8.47241	8.05266	11.41108	35.90797	31.54157	14.19263	38.59956	13.83468	22.0463	39.40822	29.30427	22.3569	8.48071	26.63843	13.47078	19.71699	6.1954	21.65728	28.17182	12.48507	10.67989	23.85033	4.31024	40.78544	25.68623	6.18291	31.76153	20.63553	30.42982	25.04166	8.37732	31.27938	17.02577	28.38729	18.25238	38.07138	30.71375	30.10363	23.10675	44.63197	14.42736	26.77273	34.22056	48.29868	4.81937	22.74287	30.14503	18.82985	9.89027	3.60725	16.76179
k__Bacteria|p__Bacteroidetes|c__CFGB76719	10.00037	1.44279	2.91287	1.02341	0.57635	0	0	1.29609	0	0.17485	0.04637	0.17697	0	5.24003	0.12755	0.00039	0.41242	0.38778	0.41054	2.65541	0.75591	0.00926	5.57836	0	1.46857	0.00568	0	1.29726	1.30827	0.50103	0.22149	0	0.87486	0	5.0342	0.359	0.56037	5.38267	0.00235	0.00084	0	0	0	10.5639	0.42807	0.79212	16.16864	2.45954	0.01077	0.14075	0	0.99361	0.03916	0.00313	0	5.09726	6.0598	1.61236	1.65525	0.50952	1.2778	0.72998	0.70397	0.0155	1.03778	0	4.6118	2.65102	0	1.66705	1.16541	3.10375	0	8.82036	0.26204	0.03235	6.28876	5.16756	3.31715	8.25172	7.70555	0	0.30621	0	13.50934	0.43136	2.71473	1.85446	0	0	0.21885	0	0.22439	0.86871	1.37277	0.68041	1.08999	0	0	0.85927	5.97714	5.52461	0	4.86129	2.60716	10.47917	0.45624	0.67525	0.61509	0	6.58576	1.03738	3.63085	1.76496	3.5265	8.80404	1.81364	0	3.0963	0.00239	0	0.00169	0	0	3.49573	2.5831	0.43965	16.06922	1.26269	0.69246	0	3.67484	9.93368	1.17942	0.01459	0	0.7286	0	2.36941	0.72366	6.36533	0.49216	5.41538	4.47818	0	1.04622	8.94643	0.66898	0.43096	6.77608	1.72318	0	0.55171	0	0	0	0	0	1.50342	0	2.99942	0.36964	0.65171	0.77131	2.62414	3.37239	4.11336	0.52267	0.61943	4.60038	2.82753	6.10157	6.56935	0.56457	1.20165	0.0444	1.12394	4.86081	0	0	0	0	0.18314	0	4.40709	0.28402	12.94691	2.32874	1.55507	0.0039	0	0	0.93545	0	2.77407	0	0	0	1.15755	2.86655	2.2789	1.1531	0	1.94833	4.50794	1.56367	0.03547	0	0.15933	4.56824
k__Bacteria|p__Firmicutes|c__Bacilli	7.90886	8.2362	8.56039	8.32888	4.11572	4.2535	2.87016	5.05764	12.98061	4.5298	11.02261	4.49971	4.91916	10.80677	2.68642	7.06781	5.39841	5.17496	4.1581	7.86857	10.49289	10.75601	6.99319	9.40955	10.78778	2.95585	3.0592	4.18329	4.24111	3.45531	6.19731	1.35502	15.87831	8.42295	1.99478	8.64864	3.70904	11.30201	2.94756	4.03109	3.79144	11.23685	11.63567	3.73795	2.68141	7.22114	9.05924	7.53341	6.39253	2.15297	10.05256	2.31249	10.368	7.24052	8.5888	6.88205	9.3307	2.27375	2.60397	2.16708	5.16144	3.56728	13.19843	2.50463	5.71065	14.50931	8.97741	8.33288	6.86665	10.50712	9.79027	8.60041	8.23405	6.7679	6.19753	8.7571	6.4432	7.65524	8.82608	1.86915	7.46845	1.86688	2.43252	1.89119	5.76626	6.93459	6.14776	3.7723	12.82499	5.66912	7.90615	1.43003	7.2794	5.64427	7.11991	4.61706	9.12875	3.93898	10.44544	7.08934	3.89709	4.365	11.55855	6.27655	12.36036	7.62344	2.04036	4.4898	6.78437	6.03703	4.88252	12.81655	4.82279	6.26127	8.70314	7.69649	10.32699	5.8044	2.9446	9.65995	9.83933	8.13431	12.72035	6.30944	8.45446	11.27142	8.83272	4.13922	8.61776	3.74724	8.04015	5.34068	9.05866	4.83125	7.65458	9.21821	8.48154	3.18227	8.55515	3.08585	11.16671	6.38359	10.427	2.61656	10.12067	2.65115	7.98076	7.8495	12.0005	6.11705	4.59967	6.97182	6.19125	9.72087	5.23598	7.09132	9.3369	6.27119	5.36715	2.92578	7.27595	17.41853	6.47387	7.62807	6.77989	11.19804	6.02491	4.7177	6.04588	7.3701	6.32473	9.29868	9.12193	7.5064	5.12969	0.30108	8.30352	7.70885	10.13577	12.76085	7.4335	7.86627	2.57002	7.40118	7.99393	5.17807	7.03428	9.34741	6.6035	6.03599	5.59205	11.09824	8.45087	11.0016	5.83674	4.46176	2.02035	1.75507	6.68662	7.0569	15.45248	2.16405	1.16966	4.82406	8.56511	6.02655	5.77582	6.55082	4.01814	5.48602
k__Bacteria|p__Firmicutes|c__CFGB8152	3.80352	0.64215	0.00546	0.57483	0.2357	0.81739	0.50548	1.17669	0.00478	1.37098	2.38136	1.42161	1.43239	0.02623	0.23399	1.98787	0.2404	0.24934	0.28939	1.0822	0.96657	2.59947	0.024	0.5205	1.04908	2.39985	2.57294	2.2081	2.32033	2.17662	0.25482	8.17537	0.82453	1.18927	1.16481	2.67273	2.10355	2.1751	0.003	2.67273	2.79218	0.42143	0.40896	0.22014	0.62839	0.09412	1.07391	0.13385	1.44635	0.00424	0.01972	0.26687	0.5276	0.59612	0.01475	0.28991	0.31715	0.56339	0.62107	0.84189	2.24424	2.40904	0.96038	0	0.40023	1.20873	0.37471	1.961	0.23409	2.326	1.65864	0.37809	2.44908	0	1.33006	0.76888	0.00111	0.82935	2.88668	0.83892	0.11383	0.41131	0	0	0.0476	3.30753	3.50454	0.21902	0.60905	3.34149	0.93914	0.50304	1.31037	1.12353	5.66041	0.33717	0.65787	0.54388	0.65997	0.41074	0.1585	0.00556	0.12206	0.33456	1.87896	0	4.66297	0.91952	0.89364	0.2649	0.73608	0.35369	1.51188	1.68537	0	1.34212	0.99376	0.45236	0.41374	0.01669	0.05559	0.09145	0	1.02738	1.83808	0.65006	0.13145	0.99216	0.84167	0.58073	1.06076	0.45824	0.22379	1.3864	0.10227	1.30023	3.03871	0.37803	0.05247	0.25284	4.96469	0.31629	0.22873	0	0	0.35476	0	1.26428	0.33303	0	2.64955	0.77933	1.55497	3.22198	1.36524	0.70874	2.53464	4.15357	0	1.88899	3.99363	0.41845	1.32239	0.21424	0.01522	0.22011	0.03515	0.41962	0.507	1.20176	0.60124	2.64288	0	4.76749	0.81088	4.75063	0.09424	0.33235	1.22361	0.6765	0.02994	4.68887	0.84376	0.7628	2.4253	0.76131	0	0.22964	0.25855	0.05519	0.5256	2.82091	0.95192	0.44541	0	0.03941	0.08991	0	0	0	0	0.05561	0.13869	9.9198	0.73501	0.14545	0.75613	2.69649	3.74616	0.03895
k__Bacteria|p__Bacteroidetes|c__CFGB76183	2.77529	1.6407	0.0223	0	0.24367	0	0	0	0	0.07321	0.00767	0.06586	0	0	0.03178	3.05648	0.17704	0.18392	0.04064	0.27875	0	0	1.79608	0	1.66031	0	0	0.09256	0.0911	0.09009	0.07645	1.08687	0.05898	0	2.93656	0.14126	0.09513	0	0	0	0	0	0	3.1506	0	0.14229	0	0	0	0	0	0	0	0	0	0	0	0.10762	0.08964	0.06807	0.08721	0.04443	0	0	0	0	0.37315	0.27946	0	0	0	0.07003	0	1.27224	0	0.05303	0	0	0	0	2.24095	0.04087	0	0	0	0.05581	0	0.12714	0	0	0	0	0	0	1.20865	0	0	0	0	0.01195	0	0	0	0	1.29172	1.41772	0.01608	0.00981	0	0	0	0.18354	0	1.08959	1.13955	0	1.6009	0	0.0181	0	0	0	0	0	0	0.09118	0	0	0	0.02508	0	0	1.33756	0	0	0	0	0	0	0.0954	0	0	0.71417	0	0	0	0	0.04363	0.04315	1.50548	0.53972	0.51147	0.20142	0	0	0	0	0	0	0	0	0.21714	0	0.06635	1.17421	0	0	0	0.0514	0	0	0.89812	0	0	0.31803	0	2.72293	0	0	0	0	0	0	0	0	0	2.37996	0	0.02751	0	0	0	0	0	0	0	0	0	0	0	1.54525	0.04712	0.14171	0	3.52046	0.10373	0.02445	0	0.18409	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2.18178	2.74305	4.50941	3.87214	2.7405	1.8445	4.80336	3.15561	3.69684	3.75957	5.17803	3.81185	2.71018	3.8027	3.35458	1.56109	1.42025	1.38339	5.22629	2.95579	2.42187	1.24473	1.30166	5.73328	3.18589	0.12393	0.10764	5.16727	5.2729	3.11775	7.62434	1.4167	3.10585	6.33073	1.2231	4.79054	2.72305	1.93578	2.27732	4.24341	4.21936	3.07626	3.05714	2.36997	1.83014	3.16705	2.73955	3.02488	1.34006	2.75547	3.60005	2.65264	2.84534	3.57081	1.69536	2.1293	2.67037	2.14073	2.35757	2.30084	4.32394	5.00532	2.51279	1.99206	2.41524	2.08813	2.65677	3.2798	2.11234	3.94195	3.88742	3.10082	3.23383	3.71544	3.77585	6.51445	0.90079	1.73861	3.55162	2.09022	1.39828	1.12821	5.10909	3.42254	1.57721	4.06872	2.94104	3.5312	2.23039	3.51544	14.59757	8.36697	3.52288	3.26158	0.82191	4.12755	3.28935	2.68359	3.0792	4.10411	5.96	5.01139	3.6116	3.56599	1.53127	1.68372	4.30161	5.43193	3.9299	2.79396	0.7737	1.75976	2.92142	0.78943	0.69874	3.40631	1.95436	4.2144	1.76856	3.47302	1.78904	2.58442	1.07194	1.70588	1.91439	2.68591	6.82558	2.24306	2.95456	3.41646	2.29829	3.79785	2.15418	4.9597	2.75411	2.88074	2.23502	7.77687	2.9842	5.8418	3.51801	2.98626	3.46658	9.05488	5.31724	3.94312	2.48943	6.09273	2.91991	1.72021	1.30964	1.95361	3.44954	4.62812	5.05226	4.95439	2.22165	3.24035	3.67059	3.42875	1.48008	7.0999	1.82129	4.92714	2.98719	4.68125	4.81083	2.91023	4.02373	2.37385	3.18974	0.93035	2.04797	3.17574	2.09968	2.94737	2.42895	3.12687	1.8868	3.62531	2.63902	1.68815	2.5644	2.7862	1.21453	8.68209	1.60749	4.16251	4.26078	4.93736	3.53315	1.1539	2.7832	4.44837	4.1531	3.28797	3.81138	2.48728	4.6628	6.04879	2.47722	1.63028	1.68502	1.33594	1.49652	2.52208	5.72531	5.19643	4.59313	1.21768
